col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
rs10509158,T,C,T,C,-0.0030269,-0.0294,0.198151,0.199801,False,False,False,ebi-a-GCST002245,10,63507669,0.0199,54162,0.139,Alzheimer's disease (late onset),True,10,0.000503166,462933,63507669,1.79999e-09,ukb-b-11632,Treatment/medication code: atenolol || id:ukb-b-11632,True,reported,igd,2,True
rs10774625,G,A,G,A,-0.00362583,0.0302,0.503805,0.522863,False,False,False,ebi-a-GCST002245,12,111910219,0.0157,54162,0.05486,Alzheimer's disease (late onset),True,12,0.000399802,462933,111910219,1.20005e-19,ukb-b-11632,Treatment/medication code: atenolol || id:ukb-b-11632,True,reported,igd,2,True
rs12509595,C,T,C,T,0.00351805,-0.0311,0.291507,0.267396,False,False,False,ebi-a-GCST002245,4,81182554,0.0178,54162,0.08013,Alzheimer's disease (late onset),True,4,0.000440784,462933,81182554,1.39991e-15,ukb-b-11632,Treatment/medication code: atenolol || id:ukb-b-11632,True,reported,igd,2,True
rs1623603,T,A,T,A,-0.00276977,-0.0022,0.731619,0.713718,False,True,False,ebi-a-GCST002245,3,14889245,0.0177,54162,0.9032,Alzheimer's disease (late onset),True,3,0.000451662,462933,14889245,8.70001e-10,ukb-b-11632,Treatment/medication code: atenolol || id:ukb-b-11632,True,reported,igd,2,True
rs3918226,T,C,T,C,0.0055013,-0.0183,0.08101,0.0984095,False,False,False,ebi-a-GCST002245,7,150690176,0.0356,54162,0.6064,Alzheimer's disease (late onset),True,7,0.00074434,462933,150690176,1.50003e-13,ukb-b-11632,Treatment/medication code: atenolol || id:ukb-b-11632,True,reported,igd,2,True
rs6039209,T,A,T,A,-0.00236463,0.0182,0.335352,0.358847,False,True,False,ebi-a-GCST002245,20,8610255,0.0167,54162,0.2748,Alzheimer's disease (late onset),True,20,0.000424291,462933,8610255,2.5e-08,ukb-b-11632,Treatment/medication code: atenolol || id:ukb-b-11632,True,reported,igd,2,True
rs604723,C,T,C,T,0.00263009,0.0014,0.725081,0.741551,False,False,False,ebi-a-GCST002245,11,100610546,0.0177,54162,0.935,Alzheimer's disease (late onset),True,11,0.000451142,462933,100610546,5.49997e-09,ukb-b-11632,Treatment/medication code: atenolol || id:ukb-b-11632,True,reported,igd,2,True
rs6714150,G,A,G,A,-0.00236133,-0.0117,0.629984,0.646123,False,False,False,ebi-a-GCST002245,2,43389409,0.0174,54162,0.5018,Alzheimer's disease (late onset),True,2,0.000417289,462933,43389409,1.5e-08,ukb-b-11632,Treatment/medication code: atenolol || id:ukb-b-11632,True,reported,igd,2,True
rs7700842,C,T,C,T,-0.00226301,-0.018,0.371103,0.359841,False,False,False,ebi-a-GCST002245,5,157824183,0.0157,54162,0.2525,Alzheimer's disease (late onset),True,5,0.000414053,462933,157824183,4.60002e-08,ukb-b-11632,Treatment/medication code: atenolol || id:ukb-b-11632,True,reported,igd,2,True
rs8027450,T,C,T,C,0.00306191,-0.0038,0.32312,0.323062,False,False,False,ebi-a-GCST002245,15,91418394,0.0176,54162,0.8278,Alzheimer's disease (late onset),True,15,0.000429384,462933,91418394,1e-12,ukb-b-11632,Treatment/medication code: atenolol || id:ukb-b-11632,True,reported,igd,2,True
rs9388537,G,A,G,A,0.00232044,-0.0036,0.437342,0.44831,False,False,False,ebi-a-GCST002245,6,127198630,0.0159,54162,0.8224,Alzheimer's disease (late onset),True,6,0.00040369,462933,127198630,8.99995e-09,ukb-b-11632,Treatment/medication code: atenolol || id:ukb-b-11632,True,reported,igd,2,True
